分组,参数名,当前值,量纲,含义
单位物理扩展 UnitManager,idle_friction_multiplier,3.0,无,待机/攻击/部署状态摩擦力倍率
单位物理扩展 UnitManager,turn_ramp_angle,0.5,rad,转向线速区：角度差小于该值时角速度按比例下降
单位物理扩展 UnitManager,collision_resolve_radius_factor,2.5,无,单位-单位碰撞解算搜索半径=碰撞半径×该值
单位物理扩展 UnitManager,idle_resistance,4.0,无,待机/攻击单位阻力倍率（质量×该值）
单位物理扩展 UnitManager,collision_smoothing,0.4,无,重叠修正平滑系数（每帧消除比例）
单位物理扩展 UnitManager,wall_collision_factor_moving,0.5,无,移动中撞墙回推系数（保留滑墙手感）
单位物理扩展 UnitManager,wall_collision_factor_idle,1.0,无,待机撞墙回推系数（立即推回）
单位物理扩展 UnitManager,target_projection_margin,1.0,px,目标点投影到合法格AABB边缘的安全边距
流场 FlowFieldManager,density_weight,4.8,无,密度代价权重
流场 FlowFieldManager,density_decay_factor,0.2,无,密度衰减系数（旧密度保留比例）
流场 FlowFieldManager,max_density_cost,100.0,代价,密度代价上限
流场 FlowFieldManager,max_search_dist,60,格,找最近可走格搜索半径
流场 FlowFieldManager,density_blur_radius,1,格,密度模糊半径（0=不模糊）
流场 FlowFieldManager,path_safe_zone_radius,2,格,直线通行检测目的地安全区（忽略密度判定范围）
流场缓存与梯度 FlowFieldManager,flow_field_cleanup_interval,2.0,s,流场缓存清理扫描间隔
流场缓存与梯度 FlowFieldManager,flow_field_unused_threshold,1.0,s,流场缓存超时删除时间
流场缓存与梯度 FlowFieldManager,wall_gradient_offset,3.0,集成值,梯度计算中墙壁/边界格的虚假集成值增量
流场缓存与梯度 FlowFieldManager,nearest_walkable_cell_limit,1000,格,最近可走格BFS搜索安全阀
编组 GroupManager,group_cleanup_interval,1.0,s,失效临时组清理间隔
编组 GroupManager,group_area_margin_factor,1.0,无,阵型所需面积余量（乘在单位总面积上）
编组 GroupManager,group_radius_estimate_factor,3.0,格,阵型半径估算系数（决定采集目标集成值范围）
编组 GroupManager,group_integration_tolerance,1.1,无,组目标集成值容错倍率
编组 GroupManager,group_air_height_threshold,20.0,px,编组空中/地面判定高度阈值
地形初始化 main.gd,near_obstacle_radius,2,格,近障碍检测半径（越大越贴边避让）
